id;nombre;apellido;correo;empresa;fechaNacimiento;sueldo;genero
659;Juan;Armenta;elena.rojas@yahoo.com;Huerta S.R.L;1982-04-23;14.77;MUJER
660;Teresa;Mondragón;karina.parra@gmail.com;"Colín; Colín y Colín Asociados S.R.L";1982-04-24;26.49;MUJER
661;Martha;Gallegos;jaime.domínguez@hotmail.com;Zavala y Zavala S.R.L;1982-04-25;91.17;MUJER
662;Maricela;Morán;luis alberto.gutiérrez@gmail.com;Meza y Meza S.R.L;1982-04-26;53.38;MUJER
663;Julio;Márquez;jaime.cruz@hotmail.com;Córdova y Córdova S.C.;1982-04-27;81.14;MUJER
664;ConcepciĂłn;Zavala;socorro.alcántara@hotmail.com;Mercado S.A.B.;1982-04-28;28.98;MUJER
665;Marco Antonio;Arellano;claudia.rivas@gmail.com;Grupo Financiero Amador S.A.B.;1982-04-29;55.8;MUJER
666;Enrique;Lara;cristina.anaya@gmail.com;Segura y Segura S.A.B.;1982-04-30;63.52;MUJER
667;Miriam;Téllez;josé alfredo.cuevas@yahoo.com;Sociedad de la Rosa S.A.;1982-05-01;39.12;MUJER
668;Yolanda;Quezada;sandra.zamudio@gmail.com;Núñez S.A.;1982-05-02;77.27;MUJER
669;Felipe;Zúñiga;jorge luis.ortiz@hotmail.com;Osorio S.C.;1982-05-03;8.12;MUJER
670;Silvia;Camacho;alicia.valdés@yahoo.com;Sotelo Sotelo S.A.B.;1982-05-04;77.88;MUJER
671;Esperanza;Ordoñez;rosa.rodríguez@prodigy.net.mx;"Zúñiga; Zúñiga y Zúñiga Asociados S.A. de C.V.";1982-05-05;40.24;MUJER
672;Aurora;Castellanos;maría de lourdes.aguilera@gmail.com;Macías Macías S.A.;1982-05-06;67.3;MUJER
673;Gabriel;Escalante;teresa.colín@yahoo.com;Arredondo Arredondo S.A. de C.V.;1982-05-07;76.53;MUJER
674;Alejandra;Bonilla;norma.contreras@hotmail.com;de los Santos de los Santos S.A.B.;1982-05-08;71.95;MUJER
675;Amalia;Sandoval;benito.hernández@yahoo.com;Morán y Morán S.A.;1982-05-09;3.49;MUJER
676;Alberto;León;marisol.villalobos@prodigy.net.mx;"Téllez; Téllez y Téllez Asociados S.C.";1982-05-10;62.24;MUJER
677;Manuel;López;paula.solano@prodigy.net.mx;Valdés Valdés S.R.L;1982-05-11;32.32;MUJER
678;Juan Antonio;Mejía;edgar.alfaro@hotmail.com;Ibarra Ibarra S.A. de C.V.;1982-05-12;41.27;MUJER
679;JosĂ© Guadalupe;Corona;carlos alberto.tovar@hotmail.com;"Guillén; Guillén y Guillén Asociados S.A.B.";1982-05-13;78.61;MUJER
680;Gabriela;Cano;carmen.baltazar@yahoo.com;"Galván; Galván y Galván Asociados S.R.L";1982-05-14;12.75;MUJER
681;Mercedes;Ponce;erika.sosa@gmail.com;Grupo Rivera S.A.B.;1982-05-15;94.82;MUJER
682;Salvador;Ángeles;antonio.de la cruz@hotmail.com;Padilla y Padilla S.A.B.;1982-05-16;43.53;MUJER
683;Enrique;García;luis alberto.castañeda@yahoo.com;Cordero Cordero S.C.;1982-05-17;52.14;MUJER
684;Teresa;Rentería;cristina.núñez@hotmail.com;Fondo de los Santos S.A. de C.V.;1982-05-18;82.33;MUJER
685;Antonia;Toledo;olivia.áviles@gmail.com;Gil y Gil S.R.L;1982-05-19;1.88;MUJER
686;MarĂ­a Elena;Zárate;erika.pérez@gmail.com;Beltrán Beltrán S.A.;1982-05-20;82.39;MUJER
687;Ăngel;Estrada;fabiola.díaz@hotmail.com;Molina Molina S.C.;1982-05-21;4.23;MUJER
688;AdriĂˇn;Rojas;cristina.tovar@yahoo.com;"Rivera; Rivera y Rivera Asociados S.C.";1982-05-22;59.2;MUJER
689;VĂ­ctor Hugo;Meza;abel.vidal@yahoo.com;Ávila y Ávila S.R.L;1982-05-23;3.1;MUJER
690;Ă“scar;Alfaro;mario.islas@hotmail.com;Castañeda y Castañeda S.A.;1982-05-24;32.89;MUJER
691;Olivia;Villalobos;martha.salgado@yahoo.com;"Aranda; Aranda y Aranda Asociados S.A.";1982-05-25;52.11;MUJER
692;Agustina;Vásquez;omar.ordoñez@yahoo.com;Morán y Morán S.A.;1982-05-26;8.57;MUJER
693;MarĂ­a Luisa;Mata;alfredo.nieto@prodigy.net.mx;"Mondragón; Mondragón y Mondragón Asociados S.C.";1982-05-27;81.67;MUJER
694;Martha;Varela;antonio.guillén@hotmail.com;Rentería y Rentería S.A. de C.V.;1982-05-28;13.94;MUJER
695;RubĂ©n;Cázares;olivia.antonio@prodigy.net.mx;Calderón y Calderón S.A. de C.V.;1982-05-29;9.42;MUJER
696;Mario;Valencia;patricia.ocampo@gmail.com;Sierra y Sierra S.A. de C.V.;1982-05-30;82.11;MUJER
697;MartĂ­n;Arriaga;catalina.del ángel@gmail.com;Ramírez y Ramírez S.A. de C.V.;1982-05-31;73.91;MUJER
698;Rosa MarĂ­a;Guerra;raymundo.piña@gmail.com;Barragán S.A. de C.V.;1982-06-01;58.83;MUJER
699;TomĂˇs;Chávez;miguel ángel.olivares@yahoo.com;Santiago S.A.;1982-06-02;49.92;MUJER
700;Lorena;Gámez;socorro.navarro@gmail.com;Sociedad Valle S.R.L;1982-06-03;55.09;MUJER
701;JosĂ© Alberto;Navarro;manuela.lugo@prodigy.net.mx;"de la Torre; de la Torre y de la Torre Asociados S.A.B.";1982-06-04;35.6;MUJER
702;Amalia;Herrera;eva.carrasco@gmail.com;"Duarte; Duarte y Duarte Asociados S.C.";1982-06-05;21.32;MUJER
703;Cristina;Contreras;adrián.ávalos@hotmail.com;Colegio Ramos S.A. de C.V.;1982-06-06;88.62;MUJER
704;RocĂ­o;Orozco;andrea.cabrera@prodigy.net.mx;Martínez y Martínez S.A.B.;1982-06-07;5.95;MUJER
705;Victoria;Espinosa;fernando.alarcón@hotmail.com;Carmona y Carmona S.A.B.;1982-06-08;98.67;MUJER
706;LucĂ­a;Jímenez;manuela.arroyo@prodigy.net.mx;Baltazar Baltazar S.R.L;1982-06-09;81.72;MUJER
707;Martha;Ángeles;luis alberto.villegas@prodigy.net.mx;Madrigal y Madrigal S.C.;1982-06-10;83.76;MUJER
708;Alejandra;Cázares;agustín.nieto@prodigy.net.mx;Serrano y Serrano S.R.L;1982-06-11;87.66;MUJER
709;Marcela;Alvarado;juan antonio.morales@gmail.com;"Covarrubias; Covarrubias y Covarrubias Asociados S.A. de C.V.";1982-06-12;72.92;MUJER
710;SaĂşl;Serrano;yolanda.acevedo@gmail.com;Colegio Sandoval S.A.;1982-06-13;85.36;MUJER
711;Sandra;Cárdenas;mario alberto.solís@yahoo.com;Colegio Mora S.R.L;1982-06-14;18.99;MUJER
712;Guadalupe;Silva;samuel.delgado@hotmail.com;Sociedad Alvarado S.A.B.;1982-06-15;66.16;MUJER
713;AngĂ©lica;Galicia;maribel.ortega@gmail.com;Saldaña y Saldaña S.C.;1982-06-16;73.31;MUJER
714;Gerardo;Balderas;esperanza.arenas@yahoo.com;Colegio Galicia S.C.;1982-06-17;53.85;MUJER
715;JosĂ© Luis;Trejo;omar.zavala@gmail.com;Gallegos S.A.;1982-06-18;46.91;MUJER
716;Gabriel;Méndez;josefina.villegas@prodigy.net.mx;Jímenez y Jímenez S.C.;1982-06-19;16.82;MUJER
717;Josefina;Luna;adrián.áviles@yahoo.com;Olvera S.A.;1982-06-20;95.54;MUJER
718;Esther;Galicia;abel.bravo@hotmail.com;"Mejía; Mejía y Mejía Asociados S.C.";1982-06-21;58.59;MUJER
719;Manuel;Benítez;araceli.trejo@yahoo.com;Fondo Gil S.A.B.;1982-06-22;61.86;MUJER
720;Sonia;Paredes;gilberto.vásquez@yahoo.com;Sánchez y Sánchez S.C.;1982-06-23;76.92;MUJER
721;Lidia;Magaña;olivia.acosta@yahoo.com;Molina S.C.;1982-06-24;20.14;MUJER
722;Virginia;Mondragón;lidia.aguilar@hotmail.com;Grupo Suárez S.A.;1982-06-25;35.56;MUJER
723;Francisca;Acevedo;vicente.sánchez@gmail.com;Grupo Financiero Figueroa S.A. de C.V.;1982-06-26;23.2;MUJER
724;Rodolfo;Quiroz;agustina.vargas@yahoo.com;Espinosa S.C.;1982-06-27;49.38;MUJER
725;Marisol;Rodríguez;francisco.lópez@prodigy.net.mx;Guerra S.A.B.;1982-06-28;98.13;MUJER
726;Ignacio;Cruz;agustina.flores@yahoo.com;Ramos Ramos S.C.;1982-06-29;50.49;MUJER
727;Josefina;Calderón;ignacio.durán@gmail.com;Colegio Blanco S.A. de C.V.;1982-06-30;68.47;MUJER
728;Eva;Alcántara;marcos.andrade@gmail.com;Quintero S.C.;1982-07-01;40.98;MUJER
729;Elena;Aguilera;josé angel.acevedo@hotmail.com;Covarrubias Covarrubias S.C.;1982-07-02;60.59;MUJER
730;Miguel;Ávila;julio.arreola@gmail.com;Rivas S.A.B.;1982-07-03;94.51;MUJER
731;Jorge Alberto;Dávila;marco antonio.maldonado@prodigy.net.mx;"Pérez; Pérez y Pérez Asociados S.A.B.";1982-07-04;40;MUJER
732;Juan;Carrasco;sofía.cárdenas@gmail.com;Juárez S.R.L;1982-07-05;96.94;MUJER
733;CĂ©sar;León;petra.gutiérrez@prodigy.net.mx;"Ocampo; Ocampo y Ocampo Asociados S.A.";1982-07-06;98.27;MUJER
734;JosĂ© Alfredo;Palma;cecilia.ojeda@gmail.com;"de los Santos; de los Santos y de los Santos Asociados S.A.";1982-07-07;1.53;MUJER
735;JosĂ© Angel;Balderas;josé antonio.ruiz@prodigy.net.mx;Alvarado Alvarado S.A.;1982-07-08;98.1;MUJER
736;Teresa;Guillén;víctor hugo.lara@yahoo.com;Aguilar Aguilar S.A.B.;1982-07-09;62.94;MUJER
737;MarĂ­a;Tapia;luis alberto.zárate@prodigy.net.mx;Reyes Reyes S.C.;1982-07-10;78.07;MUJER
738;Lidia;Quintero;marcos.jaramillo@hotmail.com;Barragán S.R.L;1982-07-11;30.84;MUJER
739;Edgar;Ruiz;ismael.zárate@gmail.com;"Moreno; Moreno y Moreno Asociados S.A. de C.V.";1982-07-12;9.7;MUJER
740;MarĂ­a;López;julia.arias@gmail.com;Fondo Reyes S.A.;1982-07-13;65.54;MUJER
741;Luis;Vázquez;mónica.piña@yahoo.com;Nieto Nieto S.A. de C.V.;1982-07-14;98.21;MUJER
742;Rosa MarĂ­a;Mejía;olivia.osorio@prodigy.net.mx;Vázquez y Vázquez S.A. de C.V.;1982-07-15;51.21;MUJER
743;Alberto;Pérez;josé guadalupe.cázares@gmail.com;Díaz S.A.B.;1982-07-16;81.67;MUJER
744;FĂ©lix;Juárez;esperanza.sandoval@gmail.com;Colegio Meza S.A.B.;1982-07-17;52.42;MUJER
745;Rodrigo;Hernández;césar.rocha@gmail.com;Valdés y Valdés S.C.;1982-07-18;35.57;MUJER
746;SaĂşl;Robles;humberto.islas@prodigy.net.mx;"Duarte; Duarte y Duarte Asociados S.A.";1982-07-19;95.62;MUJER
747;Alfonso;Lira;virginia.galindo@hotmail.com;"Delgado; Delgado y Delgado Asociados S.C.";1982-07-20;55.17;MUJER
748;Esther;Reséndiz;reyna.silva@hotmail.com;Bravo y Bravo S.C.;1982-07-21;75.06;MUJER
749;JosĂ© Alfredo;Villarreal;enrique.ibarra@gmail.com;del Ángel y del Ángel S.R.L;1982-07-22;5.59;MUJER
750;Micaela;del Ángel;irma.palma@hotmail.com;Molina S.A. de C.V.;1982-07-23;30.24;MUJER
751;Jorge Alberto;Nava;manuela.enríquez@yahoo.com;Grupo Esquivel S.A.;1982-07-24;89.27;MUJER
752;Angelina;Cruz;felipe.serrano@prodigy.net.mx;Sociedad Leyva S.C.;1982-07-25;28.14;MUJER
753;Elizabeth;Ayala;tomás.juárez@gmail.com;Fondo Cabrera S.A.;1982-07-26;37.31;MUJER
754;Gabriela;Ramírez;lucía.arriaga@prodigy.net.mx;Estrada Estrada S.R.L;1982-07-27;95.38;MUJER
755;VĂ­ctor Hugo;Tapia;cristina.alonso@gmail.com;Arredondo S.A.B.;1982-07-28;40.02;MUJER
756;Carlos;Benítez;estela.muñoz@prodigy.net.mx;Guerra Guerra S.A.;1982-07-29;82.25;MUJER
757;Carolina;Aranda;lilia.chávez@hotmail.com;Guevara Guevara S.A.B.;1982-07-30;64.73;MUJER
758;Cristina;Ordoñez;rosa.mendoza@gmail.com;Zepeda S.A.;1982-07-31;31.67;MUJER
759;LucĂ­a;Rojas;jorge luis.de león@yahoo.com;"Navarrete; Navarrete y Navarrete Asociados S.A.";1982-08-01;84.6;MUJER
760;JosĂ© Guadalupe;Martínez;concepción.báez@gmail.com;Rico S.A. de C.V.;1982-08-02;59.63;MUJER
761;Raquel;Leyva;moisés.aparicio@prodigy.net.mx;Robles S.R.L;1982-08-03;49.02;MUJER
762;Alfredo;Santos;rodrigo.escobar@yahoo.com;Sociedad Correa S.A. de C.V.;1982-08-04;0.1;MUJER
763;Francisca;Salas;maría de lourdes.peralta@gmail.com;Carrasco y Carrasco S.C.;1982-08-05;49.31;MUJER
764;Ăngel;Espinoza;josé angel.guerra@yahoo.com;Villanueva y Villanueva S.A.B.;1982-08-06;6.26;MUJER
765;Josefina;Suárez;susana.de la torre@yahoo.com;Colegio Trujillo S.A.B.;1982-08-07;75.75;MUJER
766;Arturo;Pineda;silvia.olivares@hotmail.com;Rentería Rentería S.A.;1982-08-08;41.45;MUJER
767;Alicia;Guerrero;erika.de jesús@prodigy.net.mx;Fondo Saldaña S.A.;1982-08-09;74.65;MUJER
768;Luis Alberto;Gil;edgar.galicia@prodigy.net.mx;Leyva S.A.B.;1982-08-10;7.57;MUJER
769;NicolĂˇs;Barrios;fernando.aguilar@hotmail.com;Sociedad Quintero S.A.;1982-08-11;16.28;MUJER
770;Pedro;Mondragón;petra.orozco@yahoo.com;Zamora Zamora S.A.;1982-08-12;97.37;MUJER
771;JesĂşs;Rivas;joel.camacho@prodigy.net.mx;Ponce Ponce S.A.;1982-08-13;91.48;MUJER
772;Rafael;Aguilera;maría de lourdes.valdés@hotmail.com;"Zepeda; Zepeda y Zepeda Asociados S.A.";1982-08-14;80.48;MUJER
773;MartĂ­n;Villarreal;guillermina.zapata@yahoo.com;Aguilar y Aguilar S.R.L;1982-08-15;3.12;MUJER
774;Miguel Ăngel;Francisco;josé alfredo.aguilar@prodigy.net.mx;Gutiérrez Gutiérrez S.A. de C.V.;1982-08-16;33.09;MUJER
775;Alicia;de la Torre;omar.esquivel@hotmail.com;Mora Mora S.A.B.;1982-08-17;87.71;MUJER
776;Eva;Aguilera;olivia.durán@hotmail.com;de la Torre y de la Torre S.C.;1982-08-18;49.26;MUJER
777;Ignacio;Guzmán;dolores.alcántara@yahoo.com;Lara S.R.L;1982-08-19;45.2;MUJER
778;Adriana;Morales;guillermo.zavala@yahoo.com;Arroyo S.A.B.;1982-08-20;60.24;MUJER
779;Marcos;Rubio;mario.rivera@prodigy.net.mx;Sociedad Macías S.A. de C.V.;1982-08-21;17.06;MUJER
780;CĂ©sar;Varela;mariana.islas@hotmail.com;Parra Parra S.A. de C.V.;1982-08-22;79.47;MUJER
781;Guillermina;Guerrero;maribel.medrano@prodigy.net.mx;Carmona Carmona S.C.;1982-08-23;1.03;MUJER
782;Arturo;Franco;benjamín.lópez@hotmail.com;Romo S.R.L;1982-08-24;56.82;MUJER
783;VerĂłnica;Arellano;felipe.blanco@prodigy.net.mx;Macías y Macías S.A.B.;1982-08-25;38.09;MUJER
784;MarĂ­a Luisa;Lozano;rosa.luna@prodigy.net.mx;Rico Rico S.C.;1982-08-26;0.51;MUJER
785;Esperanza;Acevedo;rocío.huerta@yahoo.com;Grupo Financiero Maldonado S.R.L;1982-08-27;35.24;MUJER
786;Josefina;García;reyna.pineda@gmail.com;Grupo Financiero Díaz S.R.L;1982-08-28;21.35;MUJER
787;RaĂşl;Fernández;francisco.vidal@gmail.com;Palma Palma S.R.L;1982-08-29;75.09;MUJER
788;Carmen;Córdova;magdalena.treviño@hotmail.com;"Bautista; Bautista y Bautista Asociados S.A.B.";1982-08-30;94.89;MUJER
789;Maricela;Correa;estela.francisco@gmail.com;Nájera y Nájera S.A.;1982-08-31;7.09;MUJER
790;Paula;Silva;araceli.valdés@gmail.com;"Esparza; Esparza y Esparza Asociados S.A.";1982-09-01;78.07;MUJER
791;MarĂ­a de Lourdes;Galván;rigoberto.maldonado@prodigy.net.mx;Colegio Campos S.C.;1982-09-02;60.52;MUJER
792;Rosario;Flores;lucía.castellanos@yahoo.com;Granados Granados S.A.;1982-09-03;70.3;MUJER
793;Carlos;Sandoval;joel.villegas@hotmail.com;Islas S.C.;1982-09-04;78.23;MUJER
794;David;de la Torre;elvira.álvarez@gmail.com;Martínez Martínez S.R.L;1982-09-05;70.92;MUJER
795;Marisol;Baltazar;isidro.navarro@hotmail.com;Durán S.A.;1982-09-06;52.72;MUJER
796;Manuela;Segura;rodrigo.arenas@gmail.com;Fondo Ibarra S.A.;1982-09-07;59.16;MUJER
797;Marcela;Arredondo;reyna.colín@gmail.com;"Covarrubias; Covarrubias y Covarrubias Asociados S.C.";1982-09-08;81.64;MUJER
798;MarĂ­a;Cordero;angélica.aguilera@gmail.com;Alarcón Alarcón S.C.;1982-09-09;45.63;MUJER
799;Pablo;Torres;concepción.lópez@prodigy.net.mx;"Campos; Campos y Campos Asociados S.A.B.";1982-09-10;22.71;MUJER
800;Armando;Meléndez;josé antonio.andrade@gmail.com;Cisneros Cisneros S.R.L;1982-09-11;9.46;MUJER
801;RamĂłn;Trejo;karina.cisneros@gmail.com;Pacheco y Pacheco S.R.L;1982-09-12;63.34;MUJER
802;Juan Carlos;Sandoval;norma.silva@hotmail.com;Blanco y Blanco S.A.;1982-09-13;21.15;MUJER
803;Cristina;Barajas;mónica.rivas@yahoo.com;"Alfaro; Alfaro y Alfaro Asociados S.C.";1982-09-14;68.8;MUJER
804;Bertha;Monroy;carmen.castillo@gmail.com;Colegio Cruz S.A.;1982-09-15;40.81;MUJER
805;Consuelo;Gómez;ángela.villegas@yahoo.com;Salgado Salgado S.C.;1982-09-16;94.46;MUJER
806;Irma;Lira;karina.sosa@prodigy.net.mx;"Aranda; Aranda y Aranda Asociados S.A. de C.V.";1982-09-17;94.26;MUJER
807;Lidia;Bonilla;josé guadalupe.acosta@gmail.com;"Barrios; Barrios y Barrios Asociados S.C.";1982-09-18;48.95;MUJER
808;Hugo;Santos;leonardo.arreola@gmail.com;Figueroa y Figueroa S.C.;1982-09-19;39.79;MUJER
809;Omar;Galindo;marcela.caballero@prodigy.net.mx;"Zamora; Zamora y Zamora Asociados S.A.";1982-09-20;52.3;MUJER
810;Leticia;Mercado;josé alfredo.escamilla@yahoo.com;"Ortiz; Ortiz y Ortiz Asociados S.A.";1982-09-21;4.72;MUJER
811;Daniel;Miranda;catalina.arroyo@hotmail.com;"Salas; Salas y Salas Asociados S.A.";1982-09-22;17.26;MUJER
812;Marcela;Carrillo;ángel.olivares@prodigy.net.mx;Grupo Méndez S.A.B.;1982-09-23;60.16;MUJER
813;Yolanda;Rendón;lorenzo.gálvez@yahoo.com;Arredondo Arredondo S.A.B.;1982-09-24;85.9;MUJER
814;Alejandro;Garza;beatriz.leal@yahoo.com;Zamudio Zamudio S.A.B.;1982-09-25;12.06;MUJER
815;Fabiola;Suárez;adriana.balderas@yahoo.com;Cano Cano S.C.;1982-09-26;13.3;MUJER
816;Teresa;Hidalgo;rosalba.mora@yahoo.com;Mercado S.A. de C.V.;1982-09-27;74.87;MUJER
817;BenjamĂ­n;Madrigal;salvador.cordero@yahoo.com;Fondo Becerra S.C.;1982-09-28;14.41;MUJER
818;Ăngela;Cuevas;martina.pineda@gmail.com;Arias Arias S.R.L;1982-09-29;99.74;MUJER
819;Ana MarĂ­a;Olivares;cecilia.nava@prodigy.net.mx;Grupo Financiero Hidalgo S.A. de C.V.;1982-09-30;80.75;MUJER
820;Amalia;Barragán;hugo.may@yahoo.com;Segura y Segura S.A. de C.V.;1982-10-01;99.41;MUJER
821;Beatriz;Tapia;saúl.nava@prodigy.net.mx;"Gámez; Gámez y Gámez Asociados S.A.";1982-10-02;54.31;MUJER
822;Jorge;Valenzuela;tomás.cortez@hotmail.com;Alfaro Alfaro S.R.L;1982-10-03;27.57;MUJER
823;Yolanda;de Jesús;mónica.valencia@prodigy.net.mx;Grupo Financiero Piña S.A.B.;1982-10-04;85.23;MUJER
824;Patricia;Anaya;francisca.cruz@yahoo.com;Cabrera Cabrera S.C.;1982-10-05;69.01;MUJER
825;JesĂşs;Zárate;elizabeth.vásquez@hotmail.com;"Godínez; Godínez y Godínez Asociados S.A. de C.V.";1982-10-06;35.69;MUJER
826;Julia;Alcántara;maría luisa.camacho@hotmail.com;Grupo Granados S.A.;1982-10-07;99.04;MUJER
827;Cecilia;Becerra;javier.galván@hotmail.com;Reséndiz y Reséndiz S.C.;1982-10-08;60.44;MUJER
828;Reyna;Salgado;rogelio.villalobos@yahoo.com;de los Santos de los Santos S.C.;1982-10-09;5.7;MUJER
829;JosĂ© Guadalupe;Santos;agustín.félix@gmail.com;Rosas S.A.;1982-10-10;46.84;MUJER
830;Araceli;López;gabriel.galicia@gmail.com;Calderón y Calderón S.C.;1982-10-11;96.76;MUJER
831;Omar;May;mario alberto.morales@hotmail.com;"Nieto; Nieto y Nieto Asociados S.R.L";1982-10-12;36.22;MUJER
832;Marina;Campos;lorena.salinas@yahoo.com;Barron S.R.L;1982-10-13;55.51;MUJER
833;Mariana;Quezada;dolores.guzmán@yahoo.com;Grupo Financiero Zúñiga S.A.B.;1982-10-14;41.74;MUJER
834;Irene;Nava;fernando.varela@yahoo.com;"Castellanos; Castellanos y Castellanos Asociados S.C.";1982-10-15;66.07;MUJER
835;Ăngel;Guzmán;enrique.sánchez@prodigy.net.mx;Soto S.C.;1982-10-16;92.66;MUJER
836;Mariana;Vidal;dolores.valdés@hotmail.com;"Peña; Peña y Peña Asociados S.A.B.";1982-10-17;11.15;MUJER
837;Humberto;Escobar;luz maría.ojeda@hotmail.com;Meléndez Meléndez S.A. de C.V.;1982-10-18;55.42;MUJER
838;JosĂ© Antonio;Jímenez;araceli.acevedo@hotmail.com;Rojas S.A. de C.V.;1982-10-19;94.8;MUJER
839;Julio CĂ©sar;Lozano;silvia.palma@prodigy.net.mx;"Leal; Leal y Leal Asociados S.R.L";1982-10-20;40.3;MUJER
840;Jorge Alberto;Arreola;félix.muñiz@gmail.com;Arias y Arias S.A.B.;1982-10-21;60.62;MUJER
841;Ismael;Sánchez;alfredo.quezada@gmail.com;Esquivel Esquivel S.R.L;1982-10-22;98.65;MUJER
842;MartĂ­n;Delgado;jaime.carmona@hotmail.com;"Áviles; Áviles y Áviles Asociados S.A.";1982-10-23;45.18;MUJER
843;Cecilia;Nájera;isabel.quezada@hotmail.com;"Galicia; Galicia y Galicia Asociados S.R.L";1982-10-24;47.93;MUJER
844;Juan Antonio;Gutiérrez;silvia.bautista@prodigy.net.mx;Venegas y Venegas S.R.L;1982-10-25;18.67;MUJER
845;Patricia;Cruz;mónica.meza@hotmail.com;Valencia y Valencia S.A.;1982-10-26;45.04;MUJER
846;Jorge;de León;antonia.carrillo@prodigy.net.mx;Sociedad Enríquez S.R.L;1982-10-27;43.01;MUJER
847;Arturo;Pacheco;miguel ángel.osorio@yahoo.com;Jaramillo y Jaramillo S.A.;1982-10-28;26.86;MUJER
848;Samuel;Bravo;alberto.de león@yahoo.com;"Rangel; Rangel y Rangel Asociados S.A. de C.V.";1982-10-29;4.63;MUJER
849;Guadalupe;Alarcón;rodolfo.pérez@prodigy.net.mx;Sociedad Díaz S.C.;1982-10-30;81.54;MUJER
850;Margarita;del Ángel;abel.zúñiga@yahoo.com;de la Cruz de la Cruz S.C.;1982-10-31;18.83;MUJER
851;Alicia;Meléndez;carmen.zamora@gmail.com;Covarrubias Covarrubias S.A.;1982-11-01;33.31;MUJER
852;Martha;Chávez;maría.varela@yahoo.com;Colegio Quintero S.A. de C.V.;1982-11-02;27.33;MUJER
853;Ofelia;Cárdenas;patricia.venegas@yahoo.com;Ángeles S.A.B.;1982-11-03;66.07;MUJER
854;RubĂ©n;Olivares;sonia.dávila@yahoo.com;"Sotelo; Sotelo y Sotelo Asociados S.A.B.";1982-11-04;25.7;MUJER
855;Gabriel;Arellano;petra.de los santos@prodigy.net.mx;"Reséndiz; Reséndiz y Reséndiz Asociados S.A.B.";1982-11-05;68.89;MUJER
856;Alfonso;Rodríguez;graciela.corona@gmail.com;"Arenas; Arenas y Arenas Asociados S.C.";1982-11-06;26.25;MUJER
857;Adriana;Ángeles;silvia.álvarez@yahoo.com;Sociedad Bautista S.C.;1982-11-07;25.05;MUJER
858;Catalina;Lara;teresa.montiel@hotmail.com;"Islas; Islas y Islas Asociados S.A. de C.V.";1982-11-08;29.27;MUJER
859;Catalina;Carbajal;sonia.escalante@prodigy.net.mx;Fondo Álvarez S.A.B.;1982-11-09;43.57;MUJER
860;NicolĂˇs;Balderas;roberto.anaya@gmail.com;"Delgado; Delgado y Delgado Asociados S.C.";1982-11-10;96.1;MUJER
861;Marina;Venegas;virginia.carmona@hotmail.com;Sociedad Rico S.C.;1982-11-11;27.84;MUJER
862;Rogelio;Valdés;humberto.olivares@gmail.com;Orozco y Orozco S.C.;1982-11-12;77.26;MUJER
863;Abel;Trujillo;verónica.zamora@yahoo.com;Flores Flores S.R.L;1982-11-13;14.79;MUJER
864;Rosa MarĂ­a;Saldaña;enrique.navarrete@hotmail.com;Morán Morán S.R.L;1982-11-14;91.74;MUJER
865;MarĂ­a;Mendoza;irma.leal@prodigy.net.mx;Grupo Financiero de la Cruz S.A.;1982-11-15;95.32;MUJER
866;Juan;Piña;andrés.méndez@hotmail.com;Flores y Flores S.A.;1982-11-16;7.22;MUJER
867;Ăngela;Arenas;marco antonio.meléndez@gmail.com;Grupo Dávila S.C.;1982-11-17;32.04;MUJER
868;Edith;Escalante;fernando.vidal@hotmail.com;Galván Galván S.A. de C.V.;1982-11-18;69.92;MUJER
869;Antonia;Murillo;benito.romo@hotmail.com;Leyva S.A. de C.V.;1982-11-19;35.15;MUJER
870;Alejandro;Báez;josefina.salazar@gmail.com;Colegio Olivares S.C.;1982-11-20;44.49;MUJER
871;Lidia;Becerra;magdalena.barragán@prodigy.net.mx;Vega y Vega S.A. de C.V.;1982-11-21;97.12;MUJER
872;Rodrigo;Ávila;samuel.villarreal@hotmail.com;"Salgado; Salgado y Salgado Asociados S.A.B.";1982-11-22;75.01;MUJER
873;Javier;Caballero;nicolás.santana@yahoo.com;Leyva S.A. de C.V.;1982-11-23;47.91;MUJER
874;Rodrigo;Piña;micaela.amador@prodigy.net.mx;Martínez Martínez S.R.L;1982-11-24;75.31;MUJER
875;MarĂ­a de Lourdes;Trejo;antonio.gaytán@hotmail.com;Grupo Financiero Corona S.A.;1982-11-25;96.7;MUJER
876;Gregorio;Valadez;mercedes.carrasco@gmail.com;Valadez S.A.;1982-11-26;16.76;MUJER
877;Yolanda;Ángeles;marco antonio.solís@yahoo.com;Grupo Acosta S.A.B.;1982-11-27;14.89;MUJER
878;Julio;Ayala;israel.lópez@yahoo.com;Guevara Guevara S.A.;1982-11-28;54.13;MUJER
879;Carmen;de Jesús;alicia.mejía@gmail.com;Medina y Medina S.R.L;1982-11-29;76.31;MUJER
880;Guillermina;Navarrete;omar.vera@prodigy.net.mx;Becerra Becerra S.A.B.;1982-11-30;20.16;MUJER
881;Celia;Acosta;catalina.román@gmail.com;Alcántara Alcántara S.R.L;1982-12-01;61.05;MUJER
882;Juan Carlos;Velasco;nicolás.acosta@gmail.com;Barrera Barrera S.C.;1982-12-02;18.6;MUJER
883;Esteban;Gómez;rosario.enríquez@gmail.com;Coronado Coronado S.A. de C.V.;1982-12-03;2.37;MUJER
